;derivative_mean;derivative_min;derivative_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
118;0.397941054;0.397941054;0.397941054;0.428103749;0.428103749;0.428103749
119;0.398226333;0.398226333;0.398226333;0.428031423;0.428031423;0.428031423
120;0.397700843;0.397700843;0.397700843;0.427979538;0.427979538;0.427979538
121;0.397178765;0.397178765;0.397178765;0.427978555;0.427978555;0.427978555
122;0.397102224;0.397102224;0.397102224;0.427959724;0.427959724;0.427959724
123;0.396211596;0.396211596;0.396211596;0.427940933;0.427940933;0.427940933
124;0.396078473;0.396078473;0.396078473;0.427734213;0.427734213;0.427734213
125;0.395710275;0.395710275;0.395710275;0.427629407;0.427629407;0.427629407
126;0.395845004;0.395845004;0.395845004;0.42723789;0.42723789;0.42723789
127;0.394800614;0.394800614;0.394800614;0.427212019;0.427212019;0.427212019
128;0.394863351;0.394863351;0.394863351;0.427173137;0.427173137;0.427173137
129;0.394582196;0.394582196;0.394582196;0.426977692;0.426977692;0.426977692
130;0.394403389;0.394403389;0.394403389;0.426977362;0.426977362;0.426977362
131;0.39441131;0.39441131;0.39441131;0.4269063;0.4269063;0.4269063
132;0.394149621;0.394149621;0.394149621;0.426647953;0.426647953;0.426647953
133;0.394604764;0.394604764;0.394604764;0.426646003;0.426646003;0.426646003
134;0.394636247;0.394636247;0.394636247;0.426598759;0.426598759;0.426598759
135;0.394528543;0.394528543;0.394528543;0.426545705;0.426545705;0.426545705
136;0.394333759;0.394333759;0.394333759;0.426567997;0.426567997;0.426567997
137;0.39412027;0.39412027;0.39412027;0.426607293;0.426607293;0.426607293
138;0.393658195;0.393658195;0.393658195;0.426630605;0.426630605;0.426630605
139;0.39356369;0.39356369;0.39356369;0.426629436;0.426629436;0.426629436
140;0.39341272;0.39341272;0.39341272;0.426630884;0.426630884;0.426630884
141;0.393716522;0.393716522;0.393716522;0.426600114;0.426600114;0.426600114
142;0.393487348;0.393487348;0.393487348;0.426406435;0.426406435;0.426406435
143;0.393151584;0.393151584;0.393151584;0.426431359;0.426431359;0.426431359
144;0.393292381;0.393292381;0.393292381;0.426395297;0.426395297;0.426395297
145;0.393051035;0.393051035;0.393051035;0.426358791;0.426358791;0.426358791
146;0.393120142;0.393120142;0.393120142;0.426294676;0.426294676;0.426294676
147;0.392509249;0.392509249;0.392509249;0.426258814;0.426258814;0.426258814
148;0.392775965;0.392775965;0.392775965;0.426237699;0.426237699;0.426237699
149;0.392624781;0.392624781;0.392624781;0.426241226;0.426241226;0.426241226
150;0.393366675;0.393366675;0.393366675;0.426239074;0.426239074;0.426239074
151;0.392911931;0.392911931;0.392911931;0.426222096;0.426222096;0.426222096
152;0.392499443;0.392499443;0.392499443;0.426088399;0.426088399;0.426088399
153;0.392789012;0.392789012;0.392789012;0.426103773;0.426103773;0.426103773
154;0.392489046;0.392489046;0.392489046;0.42657618;0.42657618;0.42657618
155;0.392683101;0.392683101;0.392683101;0.426466795;0.426466795;0.426466795
156;0.392861479;0.392861479;0.392861479;0.426382843;0.426382843;0.426382843
157;0.392461508;0.392461508;0.392461508;0.424714042;0.424714042;0.424714042
158;0.392452168;0.392452168;0.392452168;0.424702147;0.424702147;0.424702147
159;0.3923149;0.3923149;0.3923149;0.424589564;0.424589564;0.424589564
160;0.391769563;0.391769563;0.391769563;0.424551569;0.424551569;0.424551569
161;0.391649572;0.391649572;0.391649572;0.424592036;0.424592036;0.424592036
162;0.391508688;0.391508688;0.391508688;0.424582448;0.424582448;0.424582448
163;0.391285269;0.391285269;0.391285269;0.42449568;0.42449568;0.42449568
164;0.391086377;0.391086377;0.391086377;0.42448873;0.42448873;0.42448873
165;0.391512418;0.391512418;0.391512418;0.424445073;0.424445073;0.424445073
166;0.391514293;0.391514293;0.391514293;0.424233238;0.424233238;0.424233238
167;0.390814622;0.390814622;0.390814622;0.424109466;0.424109466;0.424109466
168;0.39070023;0.39070023;0.39070023;0.424118356;0.424118356;0.424118356
169;0.39073592;0.39073592;0.39073592;0.424043151;0.424043151;0.424043151
