;expVisits_mean;expVisits_min;expVisits_max
133;105.16333333333334;104.03;106.12
134;105.07666666666667;103.97;105.94
135;104.80666666666666;103.64;105.84
136;104.51333333333332;103.54;105.22
137;104.25666666666666;103.34;104.85
138;103.89999999999999;103.11;104.6
139;103.65666666666665;102.68;104.46
140;103.49333333333334;102.51;104.26
141;103.05;101.81;104.15
142;102.56333333333333;101.25;103.69
143;102.35333333333334;101.18;103.56
144;102.08;100.93;103.13
145;101.96666666666668;100.77;102.98
146;101.73333333333335;100.59;102.66
147;101.34666666666668;100.36;101.98
148;101.21666666666665;100.22;101.88
149;100.87333333333333;100.08;101.62
150;100.7;99.75;101.44
151;100.50999999999999;99.49;101.4
152;100.11333333333334;99.11;100.87
153;99.88333333333334;98.72;100.79
154;99.75333333333333;98.64;100.65
155;99.63333333333333;98.52;100.53
156;99.28000000000002;98.17;99.93
157;99.17;98.01;99.9
158;98.94333333333333;97.94;99.73
159;98.71333333333332;97.8;99.46
160;98.33;97.44;99.02
161;98.18;97.27;98.8
162;97.97333333333331;97.04;98.66
163;97.75999999999999;96.91;98.31
164;97.59333333333332;96.81;98.26
165;97.37333333333333;96.5;98.07
166;97.23;96.36;97.79
167;97.13;96.35;97.64
168;96.69333333333333;95.91;97.23
169;96.54;95.75;97.08
170;96.41000000000001;95.61;97.01
171;96.19333333333334;95.39;96.78
172;95.98333333333335;95.18;96.66
173;95.79;94.87;96.47
174;95.62333333333333;94.72;96.43
175;95.48666666666668;94.64;96.23
176;95.34000000000002;94.54;96.05
177;95.20666666666666;94.35;95.92
178;94.92333333333333;94.24;95.6
179;94.74333333333334;94.13;95.3
180;94.43;93.73;95.02
181;94.29333333333334;93.64;94.77
182;94.19333333333333;93.58;94.62
183;94.03666666666668;93.45;94.51
184;93.85333333333331;93.13;94.41
185;93.66666666666667;92.87;94.28
186;93.58999999999999;92.81;94.19
187;93.44333333333333;92.6;94.07
188;93.28666666666668;92.49;93.86
189;93.11;92.35;93.6
190;92.91666666666667;91.99;93.48
191;92.73666666666666;91.82;93.38
192;92.43333333333334;91.55;93.05
193;92.22666666666667;91.43;92.85
194;92.13333333333333;91.33;92.74
195;92.04;91.2;92.7
196;91.88333333333333;91.16;92.44
197;91.60666666666667;90.84;92.33
198;91.43;90.73;92.01
199;91.28333333333335;90.68;91.92
200;91.10000000000001;90.44;91.83
201;91.01666666666667;90.41;91.7
202;90.87333333333333;90.31;91.54
203;90.64;90.1;91.29
204;90.55666666666667;89.96;91.29
205;90.45333333333333;89.81;91.18
206;90.37666666666667;89.8;91.06
207;90.18666666666667;89.52;90.87
208;90.04;89.43;90.62
209;89.95333333333333;89.34;90.54
210;89.79666666666667;88.95;90.46
211;89.59666666666668;88.8;90.23
212;89.37;88.7;89.85
213;89.23333333333333;88.58;89.58
214;89.10333333333334;88.56;89.48
215;88.96666666666665;88.52;89.4
216;88.88333333333333;88.44;89.33
217;88.69333333333333;88.23;89.08
218;88.55;88.09;88.94
219;88.48;88.04;88.86
220;88.43;87.96;88.79
221;88.24333333333334;87.85;88.66
222;88.12333333333333;87.78;88.44
223;88.03333333333335;87.7;88.35
224;87.88999999999999;87.49;88.19
225;87.82666666666667;87.4;88.18
226;87.63333333333333;87.21;87.98
227;87.55333333333333;87.17;87.89
