;derivative_mean;derivative_min;derivative_max;expVisits_mean;expVisits_min;expVisits_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
149;70.47;70.47;70.47;97.56;97.56;97.56;93.84;93.84;93.84
150;70.44;70.44;70.44;97.4;97.4;97.4;93.84;93.84;93.84
151;70.18;70.18;70.18;97.34;97.34;97.34;93.31;93.31;93.31
152;69.94;69.94;69.94;95.88;95.88;95.88;91.65;91.65;91.65
153;69.69;69.69;69.69;95.75;95.75;95.75;91.3;91.3;91.3
154;69.46;69.46;69.46;94.68;94.68;94.68;91.12;91.12;91.12
155;69.35;69.35;69.35;94.62;94.62;94.62;90.23;90.23;90.23
156;69.15;69.15;69.15;94.22;94.22;94.22;90.09;90.09;90.09
157;68.87;68.87;68.87;94.04;94.04;94.04;89.76;89.76;89.76
158;68.6;68.6;68.6;93.71;93.71;93.71;89.66;89.66;89.66
159;68.34;68.34;68.34;93.51;93.51;93.51;88.84;88.84;88.84
160;68.17;68.17;68.17;93.41;93.41;93.41;88.32;88.32;88.32
161;67.93;67.93;67.93;93.3;93.3;93.3;88.06;88.06;88.06
162;67.72;67.72;67.72;93.24;93.24;93.24;87.43;87.43;87.43
163;67.5;67.5;67.5;93.06;93.06;93.06;87.19;87.19;87.19
164;67.34;67.34;67.34;92.65;92.65;92.65;87.15;87.15;87.15
165;67.15;67.15;67.15;92.32;92.32;92.32;86.93;86.93;86.93
166;66.86;66.86;66.86;91.96;91.96;91.96;86.83;86.83;86.83
167;66.86;66.86;66.86;91.89;91.89;91.89;86.34;86.34;86.34
168;66.64;66.64;66.64;91.76;91.76;91.76;86.21;86.21;86.21
169;66.38;66.38;66.38;91.68;91.68;91.68;86.01;86.01;86.01
170;66.13;66.13;66.13;91.58;91.58;91.58;85.97;85.97;85.97
171;65.9;65.9;65.9;91.41;91.41;91.41;85.57;85.57;85.57
172;65.74;65.74;65.74;91.2;91.2;91.2;84.98;84.98;84.98
173;65.45;65.45;65.45;91.14;91.14;91.14;84.92;84.92;84.92
174;65.04;65.04;65.04;90.96;90.96;90.96;84.68;84.68;84.68
175;64.87;64.87;64.87;90.9;90.9;90.9;84.48;84.48;84.48
