;derivative_mean;derivative_min;derivative_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max;random_mean;random_min;random_max
10;209.341326827;209.341326827;209.341326827;247.288036465;247.288036465;247.288036465;218.014513331;218.014513331;218.014513331;242.31043244;242.31043244;242.31043244;257.857856137;257.857856137;257.857856137
11;205.90852175;205.90852175;205.90852175;246.79478389;246.79478389;246.79478389;215.51919325;215.51919325;215.51919325;236.744377837;236.744377837;236.744377837;257.605423658;257.605423658;257.605423658
12;202.260589124;202.260589124;202.260589124;242.182608387;242.182608387;242.182608387;210.49184195;210.49184195;210.49184195;236.586887954;236.586887954;236.586887954;255.714659332;255.714659332;255.714659332
13;198.605398941;198.605398941;198.605398941;238.793321573;238.793321573;238.793321573;208.069743275;208.069743275;208.069743275;228.10555418;228.10555418;228.10555418;255.486555298;255.486555298;255.486555298
14;195.988388278;195.988388278;195.988388278;234.46302442;234.46302442;234.46302442;206.626492796;206.626492796;206.626492796;226.609519667;226.609519667;226.609519667;255.096280686;255.096280686;255.096280686
15;191.692535679;191.692535679;191.692535679;229.658662495;229.658662495;229.658662495;204.380326521;204.380326521;204.380326521;220.843860527;220.843860527;220.843860527;254.877341226;254.877341226;254.877341226
16;189.453046413;189.453046413;189.453046413;224.396665566;224.396665566;224.396665566;201.795214946;201.795214946;201.795214946;218.346202752;218.346202752;218.346202752;247.189414312;247.189414312;247.189414312
17;186.28615741;186.28615741;186.28615741;221.410930265;221.410930265;221.410930265;198.326859741;198.326859741;198.326859741;216.850545019;216.850545019;216.850545019;245.30384345;245.30384345;245.30384345
18;183.516505057;183.516505057;183.516505057;220.482309898;220.482309898;220.482309898;196.715573378;196.715573378;196.715573378;216.847409123;216.847409123;216.847409123;240.464372811;240.464372811;240.464372811
19;180.656717732;180.656717732;180.656717732;219.578287427;219.578287427;219.578287427;195.374957632;195.374957632;195.374957632;212.929569358;212.929569358;212.929569358;239.942142372;239.942142372;239.942142372
20;178.399733678;178.399733678;178.399733678;219.166987974;219.166987974;219.166987974;193.969820445;193.969820445;193.969820445;212.526555627;212.526555627;212.526555627;239.909555955;239.909555955;239.909555955
21;175.068008743;175.068008743;175.068008743;210.778737926;210.778737926;210.778737926;191.184849914;191.184849914;191.184849914;212.453600828;212.453600828;212.453600828;238.496978788;238.496978788;238.496978788
22;172.848870644;172.848870644;172.848870644;206.954865455;206.954865455;206.954865455;190.016546444;190.016546444;190.016546444;212.430575012;212.430575012;212.430575012;234.740169104;234.740169104;234.740169104
23;170.52793543;170.52793543;170.52793543;206.880070227;206.880070227;206.880070227;188.728291996;188.728291996;188.728291996;210.685013214;210.685013214;210.685013214;234.744461096;234.744461096;234.744461096
24;168.176067425;168.176067425;168.176067425;204.052739956;204.052739956;204.052739956;186.230576597;186.230576597;186.230576597;207.134394979;207.134394979;207.134394979;234.634585962;234.634585962;234.634585962
25;164.645119788;164.645119788;164.645119788;197.872479917;197.872479917;197.872479917;184.552809028;184.552809028;184.552809028;206.311955211;206.311955211;206.311955211;226.584120907;226.584120907;226.584120907
