;derivative_mean;derivative_min;derivative_max
386;40.89;40.89;40.89
387;40.83;40.83;40.83
388;40.81;40.81;40.81
389;40.75;40.75;40.75
390;40.7;40.7;40.7
391;40.69;40.69;40.69
392;40.65;40.65;40.65
393;40.6;40.6;40.6
394;40.54;40.54;40.54
395;40.53;40.53;40.53
396;40.49;40.49;40.49
397;40.46;40.46;40.46
398;40.4;40.4;40.4
399;40.29;40.29;40.29
400;40.22;40.22;40.22
401;40.15;40.15;40.15
402;40.08;40.08;40.08
403;40.08;40.08;40.08
404;39.97;39.97;39.97
405;39.93;39.93;39.93
406;39.9;39.9;39.9
407;39.84;39.84;39.84
408;39.78;39.78;39.78
409;39.72;39.72;39.72
410;39.61;39.61;39.61
411;39.59;39.59;39.59
412;39.53;39.53;39.53
413;39.45;39.45;39.45
414;39.4;39.4;39.4
415;39.37;39.37;39.37
416;39.3;39.3;39.3
417;39.22;39.22;39.22
418;39.13;39.13;39.13
419;39.06;39.06;39.06
420;39.01;39.01;39.01
421;38.94;38.94;38.94
422;38.85;38.85;38.85
423;38.81;38.81;38.81
424;38.76;38.76;38.76
425;38.71;38.71;38.71
426;38.67;38.67;38.67
427;38.69;38.69;38.69
428;38.61;38.61;38.61
429;38.53;38.53;38.53
430;38.49;38.49;38.49
431;38.45;38.45;38.45
432;38.4;38.4;38.4
433;38.33;38.33;38.33
434;38.28;38.28;38.28
435;38.23;38.23;38.23
436;38.16;38.16;38.16
437;38.12;38.12;38.12
438;38.07;38.07;38.07
439;38.04;38.04;38.04
440;37.97;37.97;37.97
441;37.92;37.92;37.92
442;37.91;37.91;37.91
443;37.87;37.87;37.87
444;37.8;37.8;37.8
445;37.74;37.74;37.74
446;37.69;37.69;37.69
447;37.64;37.64;37.64
448;37.61;37.61;37.61
449;37.6;37.6;37.6
450;37.57;37.57;37.57
451;37.52;37.52;37.52
452;37.51;37.51;37.51
453;37.48;37.48;37.48
454;37.45;37.45;37.45
455;37.37;37.37;37.37
456;37.33;37.33;37.33
457;37.28;37.28;37.28
458;37.24;37.24;37.24
459;37.16;37.16;37.16
460;37.09;37.09;37.09
461;37.06;37.06;37.06
462;37.01;37.01;37.01
