;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
335;52.79;52.79;52.79
336;52.72;52.72;52.72
337;52.69;52.69;52.69
338;52.58;52.58;52.58
339;52.47;52.47;52.47
340;52.36;52.36;52.36
341;52.29;52.29;52.29
342;52.18;52.18;52.18
343;52.17;52.17;52.17
344;52.14;52.14;52.14
345;52.14;52.14;52.14
346;52.13;52.13;52.13
347;52.07;52.07;52.07
348;52.06;52.06;52.06
349;52.0;52.0;52.0
350;51.99;51.99;51.99
351;51.89;51.89;51.89
352;51.79;51.79;51.79
353;51.73;51.73;51.73
354;51.52;51.52;51.52
355;51.41;51.41;51.41
356;51.31;51.31;51.31
357;51.22;51.22;51.22
358;51.02;51.02;51.02
359;51.01;51.01;51.01
360;50.84;50.84;50.84
361;50.81;50.81;50.81
362;50.72;50.72;50.72
363;50.64;50.64;50.64
364;50.57;50.57;50.57
365;50.53;50.53;50.53
366;50.5;50.5;50.5
367;50.38;50.38;50.38
368;50.35;50.35;50.35
369;50.22;50.22;50.22
370;50.14;50.14;50.14
371;50.07;50.07;50.07
372;50.02;50.02;50.02
373;50.0;50.0;50.0
374;49.87;49.87;49.87
375;49.86;49.86;49.86
376;49.73;49.73;49.73
377;49.68;49.68;49.68
378;49.61;49.61;49.61
379;49.59;49.59;49.59
380;49.53;49.53;49.53
381;49.44;49.44;49.44
382;49.37;49.37;49.37
383;49.26;49.26;49.26
384;49.18;49.18;49.18
385;49.17;49.17;49.17
386;49.1;49.1;49.1
387;49.04;49.04;49.04
388;48.95;48.95;48.95
389;48.78;48.78;48.78
390;48.72;48.72;48.72
391;48.64;48.64;48.64
392;48.59;48.59;48.59
393;48.51;48.51;48.51
394;48.36;48.36;48.36
395;48.2;48.2;48.2
396;47.94;47.94;47.94
397;47.92;47.92;47.92
398;47.91;47.91;47.91
399;47.86;47.86;47.86
400;47.81;47.81;47.81
401;47.71;47.71;47.71
402;47.68;47.68;47.68
403;47.59;47.59;47.59
404;47.55;47.55;47.55
405;47.5;47.5;47.5
406;47.38;47.38;47.38
407;47.33;47.33;47.33
408;47.32;47.32;47.32
409;47.24;47.24;47.24
410;47.2;47.2;47.2
411;47.17;47.17;47.17
412;47.05;47.05;47.05
413;46.86;46.86;46.86
414;46.81;46.81;46.81
415;46.69;46.69;46.69
416;46.65;46.65;46.65
417;46.57;46.57;46.57
418;46.49;46.49;46.49
419;46.47;46.47;46.47
420;46.39;46.39;46.39
421;46.32;46.32;46.32
422;46.25;46.25;46.25
423;46.15;46.15;46.15
424;46.08;46.08;46.08
425;46.08;46.08;46.08
426;45.99;45.99;45.99
427;45.96;45.96;45.96
428;45.94;45.94;45.94
429;45.86;45.86;45.86
430;45.8;45.8;45.8
431;45.79;45.79;45.79
432;45.69;45.69;45.69
433;45.65;45.65;45.65
434;45.62;45.62;45.62
435;45.6;45.6;45.6
436;45.56;45.56;45.56
437;45.51;45.51;45.51
438;45.37;45.37;45.37
439;45.31;45.31;45.31
440;45.28;45.28;45.28
441;45.22;45.22;45.22
442;45.12;45.12;45.12
443;45.1;45.1;45.1
444;45.04;45.04;45.04
445;44.96;44.96;44.96
446;44.91;44.91;44.91
447;44.79;44.79;44.79
448;44.76;44.76;44.76
449;44.68;44.68;44.68
450;44.63;44.63;44.63
451;44.55;44.55;44.55
452;44.13;44.13;44.13
453;44.06;44.06;44.06
454;44.01;44.01;44.01
455;43.96;43.96;43.96
456;43.93;43.93;43.93
457;43.89;43.89;43.89
458;43.84;43.84;43.84
459;43.75;43.75;43.75
460;43.67;43.67;43.67
461;43.67;43.67;43.67
